url,label
https://www.apple.com/,SAFE
https://apple.com/login,SAFE
https://www.google.com/,SAFE
https://google.com/login,SAFE
https://www.youtube.com/,SAFE
https://youtube.com/login,SAFE
https://www.linkedin.com/,SAFE
https://linkedin.com/login,SAFE
https://www.twitter.com/,SAFE
https://twitter.com/login,SAFE
https://www.hbo.com/,SAFE
https://hbo.com/login,SAFE
https://www.airbnb.com/,SAFE
https://airbnb.com/login,SAFE
https://www.booking.com/,SAFE
https://booking.com/login,SAFE
https://www.expedia.com/,SAFE
https://expedia.com/login,SAFE
https://www.kayak.com/,SAFE
https://kayak.com/login,SAFE
https://www.cnn.com/,SAFE
https://cnn.com/login,SAFE
https://www.bbc.co.uk/,SAFE
https://bbc.co.uk/login,SAFE
https://www.wsj.com/,SAFE
https://wsj.com/login,SAFE
https://www.foxnews.com/,SAFE
https://foxnews.com/login,SAFE
https://www.nbcnews.com/,SAFE
https://nbcnews.com/login,SAFE
https://www.wikipedia.org/,SAFE
https://wikipedia.org/login,SAFE
https://www.yahoo.com/,SAFE
https://yahoo.com/login,SAFE
https://www.bing.com/,SAFE
https://bing.com/login,SAFE
https://www.duckduckgo.com/,SAFE
https://duckduckgo.com/login,SAFE
https://www.baidu.com/,SAFE
https://baidu.com/login,SAFE
https://www.amazon.com/,SAFE
https://amazon.com/login,SAFE
https://www.ebay.com/,SAFE
https://ebay.com/login,SAFE
https://www.walmart.com/,SAFE
https://walmart.com/login,SAFE
https://www.target.com/,SAFE
https://target.com/login,SAFE
https://www.bestbuy.com/,SAFE
https://bestbuy.com/login,SAFE
https://www.chase.com/,SAFE
https://chase.com/login,SAFE
https://www.bankofamerica.com/,SAFE
https://bankofamerica.com/login,SAFE
https://www.wellsfargo.com/,SAFE
https://wellsfargo.com/login,SAFE
https://www.capitalone.com/,SAFE
https://capitalone.com/login,SAFE
https://www.citi.com/,SAFE
https://citi.com/login,SAFE
https://www.paypal.com/,SAFE
https://paypal.com/login,SAFE
https://www.venmo.com/,SAFE
https://venmo.com/login,SAFE
https://www.cash.app/,SAFE
https://cash.app/login,SAFE
https://www.stripe.com/,SAFE
